Date,Open,High,Low,Close,Volume
2020-03-17,248.301,258.54,241.857,254.562,908500.48254176
2020-03-18,255.41,266.506,241.954,244.802,754549.80426146
2020-03-19,244.802,259.203,243.095,259.203,540185.7894672
2020-03-20,266.311,268.495,242.998,252.573,986205.5405331
2020-03-23,243.661,257.779,236.933,251.335,463226.34722403
2020-03-24,262.616,265.931,254.279,262.147,457679.86859118
2020-03-25,269.158,272.658,257.779,263.093,404036.55897356
2020-03-26,261.484,267.071,259.203,266.408,311078.68474191
2020-03-27,267.735,268.963,260.246,264.42,299698.55772452
2020-03-30,265.365,266.224,258.92,266.224,294408.4806557
2020-03-31,268.212,274.745,266.506,273.994,374680.631106
2020-04-01,268.68,272.853,264.42,267.354,283308.34414623
2020-04-02,267.354,272.755,262.049,272.755,305396.82608326
2020-04-03,273.896,282.233,270.201,281.472,436927.75160581
2020-04-06,289.058,302.046,288.396,301.568,421019.57296787
2020-04-07,311.806,314.273,286.875,286.875,598018.70064088
2020-04-08,279.581,295.503,277.69,292.753,320529.64639162
2020-04-09,313.698,316.448,302.992,311.806,726410.24541359
2020-04-14,313.698,324.881,307.633,324.121,436964.67343103
2020-04-15,325.74,326.871,320.62,324.316,603266.72785321
2020-04-16,324.881,326.588,315.306,316.729,439456.89663329
2020-04-17,320.62,326.207,319.381,321.751,245911.66323105
2020-04-20,321.283,327.914,317.49,327.153,236411.47248105
2020-04-21,324.696,326.207,318.436,318.436,197756.37268967
2020-04-22,318.436,328.859,316.545,328.859,273985.58327852
2020-04-23,325.077,336.163,324.121,336.163,320566.56821683
2020-04-24,333.227,353.889,326.022,344.411,470700.96561828
2020-04-27,348.292,354.454,346.965,348.77,346085.70308043
2020-04-28,349.053,352.933,339.575,340.335,346948.23794179
2020-04-29,340.335,346.019,334.933,342.324,270675.95189018
2020-04-30,343.738,348.292,333.032,338.912,344024.23450573
2020-05-04,332.651,345.922,330.38,339.195,259518.38143036
2020-05-05,341.466,342.129,332.847,338.815,216878.80133414
2020-05-06,342.607,344.596,337.674,341.183,456707.59386043
2020-05-07,341.183,344.216,335.596,337.011,208230.88938293
2020-05-08,340.423,340.901,334.075,336.347,202709.02530025
2020-05-11,339.292,344.596,335.596,344.03,250396.63938885
2020-05-12,341.944,356.257,341.662,353.313,445319.26199299
2020-05-13,351.607,359.758,351.041,359.66,291128.59184877
2020-05-14,357.388,358.812,345.161,350.661,360157.02091375
2020-05-15,350.758,355.019,347.151,351.705,253583.19802647
2020-05-18,355.78,365.062,351.607,365.062,258400.47061125
2020-05-19,367.811,368.67,357.954,359.855,261285.50100958
2020-05-20,361.845,376.626,360.324,374.354,344264.22636965
2020-05-21,374.17,379.278,370.941,372.082,340823.31738052
2020-05-22,369.615,376.158,368.474,372.842,237215.54778581
2020-05-25,374.735,382.028,374.735,376.723,121170.2511237
2020-05-26,379.093,395.863,377.202,391.417,455620.45122899
2020-05-27,391.417,391.885,361.084,361.562,747718.24098976
2020-05-28,368.767,378.81,365.159,378.147,396315.79507785
2020-05-29,389.516,391.32,372.551,382.691,891114.40528881
2020-06-01,383.831,386.387,374.072,376.158,223071.41190831
2020-06-02,375.301,376.626,365.355,367.909,510158.08950191
2020-06-03,369.615,377.202,365.823,367.811,288731.75002834
2020-06-04,366.398,373.691,365.823,372.082,306697.29481597
2020-06-05,373.877,375.301,368.191,370.181,403104.28288679
2020-06-08,365.92,368.191,351.422,351.422,490487.98711669
2020-06-09,352.552,365.735,333.792,365.735,410612.7462875
2020-06-10,368.191,372.648,361.084,372.648,295225.88884179
2020-06-12,358.334,368.387,352.465,359.475,351351.16559911
2020-06-15,355.4,361.845,353.508,353.596,316313.3790729
